tm1_points_h,tm1_PPGH_h,tm1_GS_h,tm1_GC_h,tm0_GS_h,tm2_points_a,tm2_PPGA_a,tm2_GS_a,tm2_GC_a,tm0_GS_a,tm0_PPGH,tm1_wins,tm2_wins,tm0_wins,tm1_defeats,tm2_defeats,tm0_defeats,tm1_GSG,tm2_GSG,tm0_GSG,tm1_GCG,tm2_GCG,tm0_GCG,tm1_D,tm2_D,tm0_D,tm1_TGG,tm2_TGG,tm0_TGG,tm1_25,tm2_25,tm0_25,tm1_35,tm2_35,tm0_35,tm1_BTS,tm2_BTS,tm0_BTS,tm0_PPGH_h,tm1_wins_h,tm0_wins_h,tm1_defeats_h,tm0_defeats_h,tm1_GSG_h,tm0_GSG_h,tm1_GCG_h,tm0_GCG_h,tm1_D_h,tm0_D_h,tm1_TGG_h,tm0_TGG_h,tm1_25_h,tm0_25_h,tm1_35_h,tm0_35_h,tm1_BTS_h,tm0_BTS_h,tm0_PPGH_a,tm2_wins_a,tm0_wins_a,tm2_defeats_a,tm0_defeats_a,tm2_GSG_a,tm0_GSG_a,tm2_GCG_a,tm0_GCG_a,tm2_D_a,tm0_D_a,tm2_TGG_a,tm0_TGG_a,tm2_25_a,tm0_25_a,tm2_35_a,tm0_35_a,tm2_BTS_a,tm0_BTS_a,tm1_ClS_h,tm1_WtN_h,tm1_SiBH_h,tm1_BoTS_h,tm1_FtS_h,tm1_LtN_h,tm1_CiBH_h,tm2_ClS_h,tm2_WtN_h,tm2_SiBH_h,tm2_BoTS_h,tm2_FtS_h,tm2_LtN_h,tm2_CiBH_h,scores,tm1_names,tm2_names,urls,dates
65,1.57,61,40,52,32,0.79,39,63,48,1.35,29,29,35,36,36,35,1.11,1.00,1.11,1.07,1.07,1.11,36,36,30,2.18,2.07,2.22,36,25,39,29,18,18,46,36,45,1.45,36,38,14,32,1.36,1.16,0.86,1.06,50,30,2.21,2.22,43,39,29,18,57,45,1.25,14,32,50,38,0.79,1.06,1.36,1.16,36,30,2.14,2.22,21,39,14,18,43,45,36,14,21,57,29,7,14,21,14,7,43,43,36,29,2 - 1,Auxerre,Sochaux,pmatch.asp?league=france2_2020&stats=207-16-3-2020,Fri 24 Jan
50,1.21,42,50,52,58,2.14,55,45,48,1.35,29,54,35,36,21,35,1.18,1.36,1.11,1.21,0.79,1.11,36,25,30,2.39,2.14,2.22,43,36,39,14,21,18,57,39,45,1.45,29,38,36,32,1.00,1.16,1.21,1.06,36,30,2.21,2.22,36,39,14,18,36,45,1.25,64,32,14,38,1.50,1.06,0.71,1.16,21,30,2.21,2.22,36,39,21,18,36,45,36,14,14,36,50,29,29,64,50,29,36,14,0,7,0 - 1,Caen,AC Ajaccio,pmatch.asp?league=france2_2020&stats=203-4-5-2020,Fri 24 Jan
38,0.93,50,61,52,35,0.64,47,61,48,1.35,32,21,35,43,50,35,0.79,1.07,1.11,1.36,1.46,1.11,25,29,30,2.14,2.54,2.22,39,36,39,11,25,18,43,50,45,1.45,21,38,50,32,0.79,1.16,1.64,1.06,29,30,2.43,2.22,43,39,21,18,50,45,1.25,14,32,64,38,1.00,1.06,1.79,1.16,21,30,2.79,2.22,43,39,36,18,64,45,14,7,14,50,43,36,21,14,14,7,64,21,21,21,1 - 1,Chateauroux,Niort,pmatch.asp?league=france2_2020&stats=206-10-11-2020,Fri 24 Jan
49,1.21,48,45,52,54,1.46,54,34,48,1.35,25,32,35,25,39,35,0.96,0.93,1.11,1.04,1.14,1.11,50,29,30,2.00,2.07,2.22,32,43,39,21,18,18,54,29,45,1.45,21,38,21,32,0.93,1.16,0.93,1.06,57,30,1.86,2.22,29,39,21,18,57,45,1.25,38,32,31,38,1.08,1.06,0.85,1.16,31,30,1.92,2.22,46,39,8,18,15,45,29,7,21,57,36,14,14,54,31,23,15,54,31,23,0 - 0,Grenoble,Chambly,pmatch.asp?league=france2_2020&stats=209-8-13-2020,Fri 24 Jan
52,2.00,49,48,52,29,0.71,41,65,48,1.35,61,21,35,29,21,35,1.61,0.96,1.11,0.89,0.93,1.11,11,57,30,2.50,1.89,2.22,57,32,39,21,4,18,46,61,45,1.45,64,38,29,32,1.57,1.16,0.86,1.06,7,30,2.43,2.22,57,39,14,18,50,45,1.25,0,32,29,38,0.79,1.06,1.21,1.16,71,30,2.00,2.22,29,39,7,18,71,45,29,21,29,50,29,21,7,14,0,0,71,29,14,14,2 - 1,Lorient,Nancy,pmatch.asp?league=france2_2020&stats=202-19-1-2020,Fri 24 Jan
42,0.57,38,53,52,46,1.29,50,58,48,1.35,14,36,35,61,32,35,0.75,1.43,1.11,1.54,1.18,1.11,25,32,30,2.29,2.61,2.22,43,46,39,25,25,18,39,54,45,1.45,14,38,71,32,0.57,1.16,1.64,1.06,14,30,2.21,2.22,36,39,21,18,29,45,1.25,36,32,43,38,1.43,1.06,1.36,1.16,21,30,2.79,2.22,57,39,36,18,43,45,14,14,7,29,57,57,29,36,21,21,43,36,21,21,2 - 0,Orleans,Guingamp,pmatch.asp?league=france2_2020&stats=210-2-7-2020,Fri 24 Jan
39,0.85,41,55,52,34,0.79,29,47,48,1.35,25,29,35,50,43,35,0.79,1.11,1.11,1.43,1.21,1.11,25,29,30,2.21,2.32,2.22,36,46,39,11,11,18,32,61,45,1.45,23,38,62,32,0.69,1.16,1.69,1.06,15,30,2.38,2.22,38,39,15,18,23,45,1.25,14,32,50,38,0.64,1.06,1.14,1.16,36,30,1.79,2.22,36,39,7,18,50,45,31,23,0,23,54,46,38,29,7,0,50,43,21,14,0 - 0,Paris FC,Rodez Aveyron,pmatch.asp?league=france2_2020&stats=208-20-15-2020,Fri 24 Jan
62,1.86,58,35,52,31,0.57,47,62,48,1.35,39,25,35,29,57,35,0.86,1.07,1.11,0.71,1.61,1.11,32,18,30,1.57,2.68,2.22,18,54,39,11,21,18,29,50,45,1.45,50,38,14,32,1.00,1.16,0.50,1.06,36,30,1.50,2.22,14,39,7,18,21,45,1.25,14,32,71,38,1.00,1.06,2.00,1.16,14,30,3.00,2.22,57,39,29,18,43,45,64,43,14,21,36,14,7,14,14,21,43,43,43,57,1 - 0,Valenciennes,Le Mans,pmatch.asp?league=france2_2020&stats=201-14-17-2020,Fri 24 Jan
57,2.14,49,38,52,52,1.86,40,44,48,1.35,54,50,35,18,21,35,1.39,1.25,1.11,0.86,0.89,1.11,29,29,30,2.25,2.14,2.22,39,36,39,21,18,18,43,46,45,1.45,64,38,14,32,1.36,1.16,0.64,1.06,21,30,2.00,2.22,36,39,21,18,29,45,1.25,50,32,14,38,1.00,1.06,0.79,1.16,36,30,1.79,2.22,29,39,7,18,43,45,71,57,14,29,14,0,7,43,29,0,43,29,14,7,1 - 1,Lens,Clermont,pmatch.asp?league=france2_2020&stats=204-18-9-2020,Sat 25 Jan
50,1.57,47,40,52,51,1.86,41,32,48,1.35,39,57,35,21,32,35,1.36,1.21,1.11,0.89,0.89,1.11,39,11,30,2.25,2.11,2.22,43,39,39,21,11,18,50,43,45,1.45,36,38,14,32,1.29,1.16,0.71,1.06,50,30,2.00,2.22,29,39,21,18,50,45,1.25,57,32,29,38,1.00,1.06,0.57,1.16,14,30,1.57,2.22,14,39,7,18,21,45,43,29,21,50,21,7,7,57,50,29,21,29,21,7,1 - 0,Le Havre,Troyes,pmatch.asp?league=france2_2020&stats=205-6-12-2020,Mon 27 Jan
