tm1_points_h,tm1_PPGH_h,tm1_GS_h,tm1_GC_h,tm0_GS_h,tm2_points_a,tm2_PPGA_a,tm2_GS_a,tm2_GC_a,tm0_GS_a,tm0_PPGH,tm1_wins,tm2_wins,tm0_wins,tm1_defeats,tm2_defeats,tm0_defeats,tm1_GSG,tm2_GSG,tm0_GSG,tm1_GCG,tm2_GCG,tm0_GCG,tm1_D,tm2_D,tm0_D,tm1_TGG,tm2_TGG,tm0_TGG,tm1_25,tm2_25,tm0_25,tm1_35,tm2_35,tm0_35,tm1_BTS,tm2_BTS,tm0_BTS,tm0_PPGH_h,tm1_wins_h,tm0_wins_h,tm1_defeats_h,tm0_defeats_h,tm1_GSG_h,tm0_GSG_h,tm1_GCG_h,tm0_GCG_h,tm1_D_h,tm0_D_h,tm1_TGG_h,tm0_TGG_h,tm1_25_h,tm0_25_h,tm1_35_h,tm0_35_h,tm1_BTS_h,tm0_BTS_h,tm0_PPGH_a,tm2_wins_a,tm0_wins_a,tm2_defeats_a,tm0_defeats_a,tm2_GSG_a,tm0_GSG_a,tm2_GCG_a,tm0_GCG_a,tm2_D_a,tm0_D_a,tm2_TGG_a,tm0_TGG_a,tm2_25_a,tm0_25_a,tm2_35_a,tm0_35_a,tm2_BTS_a,tm0_BTS_a,tm1_ClS_h,tm1_WtN_h,tm1_SiBH_h,tm1_BoTS_h,tm1_FtS_h,tm1_LtN_h,tm1_CiBH_h,tm2_ClS_h,tm2_WtN_h,tm2_SiBH_h,tm2_BoTS_h,tm2_FtS_h,tm2_LtN_h,tm2_CiBH_h,scores,tm1_names,tm2_names,urls,dates
56,1.32,62,50,53,50,1.74,51,57,47,1.39,29,50,39,39,26,39,1.37,1.66,1.52,1.47,1.21,1.52,32,24,22,2.84,2.87,3.04,50,55,63,32,34,34,58,58,62,1.47,37,42,42,36,1.68,1.62,1.47,1.42,21,22,3.16,3.04,47,63,37,34,58,62,1.31,53,36,32,42,1.68,1.42,1.37,1.62,16,22,3.05,3.04,63,63,37,34,58,62,16,11,26,58,32,26,26,26,26,26,58,16,16,21,0 - 2,Cagliari,AC Milan,pmatch.asp?league=italy_2020&stats=188-11-6-2020,Sat 11 Jan
58,2.37,58,40,53,47,1.53,49,52,47,1.39,63,47,39,21,32,39,2.08,1.61,1.52,1.11,1.32,1.52,16,21,22,3.18,2.92,3.04,74,58,63,32,26,34,66,68,62,1.47,74,42,11,36,2.42,1.62,0.89,1.42,16,22,3.32,3.04,68,63,37,34,53,62,1.31,42,36,32,42,1.58,1.42,1.37,1.62,26,22,2.95,3.04,47,63,21,34,68,62,42,37,42,53,11,5,11,16,11,26,68,21,16,32,1 - 0,Lazio,Napoli,pmatch.asp?league=italy_2020&stats=183-10-4-2020,Sat 11 Jan
48,2.05,49,47,53,51,2.11,48,46,47,1.39,63,61,39,11,16,39,2.13,2.58,1.52,0.95,1.26,1.52,26,24,22,3.08,3.84,3.04,66,71,63,34,53,34,61,68,62,1.47,58,42,11,36,2.11,1.62,0.89,1.42,32,22,3.00,3.04,63,63,37,34,58,62,1.31,58,36,5,42,2.47,1.42,1.16,1.62,37,22,3.63,3.04,68,63,42,34,74,62,42,32,32,58,11,0,11,26,21,37,74,5,0,16,1 - 1,Inter Milan,Atalanta,pmatch.asp?league=italy_2020&stats=181-19-18-2020,Sat 11 Jan
53,1.26,49,45,53,47,1.26,36,48,47,1.39,32,37,39,45,39,39,0.97,1.82,1.52,1.34,1.66,1.52,24,24,22,2.32,3.47,3.04,45,76,63,24,42,34,42,68,62,1.47,32,42,37,36,0.95,1.62,1.21,1.42,32,22,2.16,3.04,47,63,26,34,42,62,1.31,32,36,37,42,1.32,1.42,1.58,1.62,32,22,2.89,3.04,63,63,32,34,63,62,42,21,21,42,37,16,26,21,11,32,63,26,16,37,3 - 0,Udinese,Sassuolo,pmatch.asp?league=italy_2020&stats=186-5-14-2020,Sun 12 Jan
47,1.21,43,46,53,50,0.53,41,48,47,1.39,32,13,39,34,74,39,1.34,0.71,1.52,1.26,2.03,1.52,34,13,22,2.61,2.74,3.04,53,58,63,26,26,34,63,53,62,1.47,26,42,32,36,1.16,1.62,1.16,1.42,42,22,2.32,3.04,37,63,21,34,58,62,1.31,16,36,79,42,0.58,1.42,1.95,1.62,5,22,2.53,3.04,58,63,16,34,42,62,37,21,16,58,21,5,21,11,5,5,42,53,47,42,1 - 0,Fiorentina,SPAL,pmatch.asp?league=italy_2020&stats=182-3-17-2020,Sun 12 Jan
52,1.16,52,46,53,44,0.58,40,57,47,1.39,32,16,39,53,66,39,1.26,0.92,1.52,1.71,2.08,1.52,16,18,22,2.97,3.00,3.04,63,63,63,29,26,34,61,55,62,1.47,32,42,47,36,1.32,1.62,1.58,1.42,21,22,2.89,3.04,68,63,26,34,58,62,1.31,16,36,74,42,0.74,1.42,2.37,1.62,11,22,3.11,3.04,58,63,32,34,53,62,32,16,21,58,26,11,32,16,16,5,53,32,32,42,5 - 1,Sampdoria,Brescia,pmatch.asp?league=italy_2020&stats=187-9-12-2020,Sun 12 Jan
62,1.32,50,44,53,51,1.26,52,55,47,1.39,29,32,39,53,39,39,1.21,1.37,1.52,1.79,1.71,1.52,18,29,22,3.00,3.08,3.04,61,63,63,34,34,34,58,76,62,1.47,37,42,42,36,1.21,1.62,1.58,1.42,21,22,2.79,3.04,63,63,21,34,63,62,1.31,37,36,47,42,1.42,1.42,1.89,1.62,16,22,3.32,3.04,68,63,47,34,68,62,21,16,21,63,21,16,26,5,0,26,68,32,26,21,1 - 0,Torino,Bologna,pmatch.asp?league=italy_2020&stats=189-13-16-2020,Sun 12 Jan
65,1.68,62,49,53,44,0.89,49,58,47,1.39,32,26,39,34,50,39,1.24,1.24,1.52,1.34,1.92,1.52,34,24,22,2.58,3.16,3.04,47,79,63,18,42,34,58,63,62,1.47,47,42,26,36,1.53,1.62,1.32,1.42,26,22,2.84,3.04,58,63,26,34,58,62,1.31,16,36,42,42,1.21,1.42,2.21,1.62,42,22,3.42,3.04,84,63,53,34,63,62,26,21,26,58,21,16,26,16,5,21,63,32,21,42,2 - 1,Hellas Verona,Genoa,pmatch.asp?league=italy_2020&stats=190-15-8-2020,Sun 12 Jan
49,1.79,47,53,53,40,1.74,39,60,47,1.39,55,68,39,26,18,39,2.03,2.00,1.52,1.34,1.13,1.52,18,13,22,3.37,3.13,3.04,71,71,63,39,34,34,68,66,62,1.47,53,42,26,36,1.89,1.62,1.42,1.42,21,22,3.32,3.04,74,63,32,34,74,62,1.31,53,36,32,42,1.58,1.42,1.37,1.62,16,22,2.95,3.04,68,63,26,34,74,62,11,11,42,74,16,16,26,21,16,21,74,11,5,11,1 - 2,AS Roma,Juventus,pmatch.asp?league=italy_2020&stats=184-7-2-2020,Sun 12 Jan
47,1.21,46,42,53,51,0.95,42,52,47,1.39,37,24,39,45,55,39,1.47,1.37,1.52,1.50,2.24,1.52,18,21,22,2.97,3.61,3.04,58,76,63,37,55,34,63,68,62,1.47,37,42,53,36,1.37,1.62,1.26,1.42,11,22,2.63,3.04,47,63,26,34,53,62,1.31,26,36,58,42,1.16,1.42,2.32,1.62,16,22,3.47,3.04,79,63,53,34,58,62,21,21,16,53,26,26,5,11,5,37,58,37,32,53,2 - 0,Parma,Lecce,pmatch.asp?league=italy_2020&stats=185-1-20-2020,Mon 13 Jan
