tm1_points_h,tm1_PPGH_h,tm1_GS_h,tm1_GC_h,tm0_GS_h,tm2_points_a,tm2_PPGA_a,tm2_GS_a,tm2_GC_a,tm0_GS_a,tm0_PPGH,tm1_wins,tm2_wins,tm0_wins,tm1_defeats,tm2_defeats,tm0_defeats,tm1_GSG,tm2_GSG,tm0_GSG,tm1_GCG,tm2_GCG,tm0_GCG,tm1_D,tm2_D,tm0_D,tm1_TGG,tm2_TGG,tm0_TGG,tm1_25,tm2_25,tm0_25,tm1_35,tm2_35,tm0_35,tm1_BTS,tm2_BTS,tm0_BTS,tm0_PPGH_h,tm1_wins_h,tm0_wins_h,tm1_defeats_h,tm0_defeats_h,tm1_GSG_h,tm0_GSG_h,tm1_GCG_h,tm0_GCG_h,tm1_D_h,tm0_D_h,tm1_TGG_h,tm0_TGG_h,tm1_25_h,tm0_25_h,tm1_35_h,tm0_35_h,tm1_BTS_h,tm0_BTS_h,tm0_PPGH_a,tm2_wins_a,tm0_wins_a,tm2_defeats_a,tm0_defeats_a,tm2_GSG_a,tm0_GSG_a,tm2_GCG_a,tm0_GCG_a,tm2_D_a,tm0_D_a,tm2_TGG_a,tm0_TGG_a,tm2_25_a,tm0_25_a,tm2_35_a,tm0_35_a,tm2_BTS_a,tm0_BTS_a,tm1_ClS_h,tm1_WtN_h,tm1_SiBH_h,tm1_BoTS_h,tm1_FtS_h,tm1_LtN_h,tm1_CiBH_h,tm2_ClS_h,tm2_WtN_h,tm2_SiBH_h,tm2_BoTS_h,tm2_FtS_h,tm2_LtN_h,tm2_CiBH_h,scores,tm1_names,tm2_names,urls,dates
61,1.74,62,38,56,44,0.89,39,47,44,1.38,37,26,38,32,50,38,1.03,1.29,1.36,1.03,1.63,1.36,32,24,24,2.05,2.92,2.72,29,50,52,11,39,28,39,53,51,1.60,53,45,32,31,1.26,1.52,0.79,1.21,16,24,2.05,2.72,32,52,11,28,32,51,1.16,21,31,53,45,1.00,1.21,1.53,1.52,26,24,2.53,2.72,42,52,32,28,42,51,42,42,21,32,26,26,11,21,16,26,42,42,37,42,1 - 0,Sheffield Utd,West Ham Utd,pmatch.asp?league=england_2020&stats=577-14-3-2020,Fri 10 Jan
53,1.21,48,40,56,36,1.05,36,50,44,1.38,29,37,38,45,26,38,0.82,1.47,1.36,1.32,1.26,1.36,26,37,24,2.13,2.74,2.72,29,55,52,16,34,28,37,61,51,1.60,32,45,42,31,0.79,1.52,1.05,1.21,26,24,1.84,2.72,16,52,5,28,37,51,1.16,21,31,37,45,1.05,1.21,1.26,1.52,42,24,2.32,2.72,42,52,26,28,53,51,32,26,11,37,37,32,16,26,16,16,53,32,21,21,1 - 1,Crystal Palace,Arsenal,pmatch.asp?league=england_2020&stats=579-9-18-2020,Sat 11 Jan
55,1.89,43,30,56,48,1.37,44,54,44,1.38,53,39,38,32,37,38,1.82,1.13,1.36,1.42,1.32,1.36,16,24,24,3.24,2.45,2.72,66,47,52,37,13,28,58,39,51,1.60,58,45,26,31,1.58,1.52,0.84,1.21,16,24,2.42,2.72,47,52,16,28,37,51,1.16,37,31,37,45,1.00,1.21,1.42,1.52,26,24,2.42,2.72,47,52,16,28,37,51,42,42,37,37,21,21,11,37,32,16,37,32,26,32,3 - 0,Chelsea,Burnley,pmatch.asp?league=england_2020&stats=573-20-7-2020,Sat 11 Jan
63,1.63,55,38,56,46,1.00,49,50,44,1.38,34,24,38,39,39,38,1.16,1.03,1.36,1.47,1.42,1.36,26,37,24,2.63,2.45,2.72,47,45,52,32,21,28,58,53,51,1.60,42,45,21,31,1.26,1.52,1.11,1.21,37,24,2.37,2.72,37,52,32,28,58,51,1.16,21,31,42,45,1.00,1.21,1.42,1.52,37,24,2.42,2.72,53,52,21,28,58,51,32,21,26,58,21,11,21,26,11,16,58,32,16,26,1 - 0,Everton,Brighton,pmatch.asp?league=england_2020&stats=575-10-12-2020,Sat 11 Jan
60,1.95,52,41,56,60,1.63,59,42,44,1.38,47,39,38,32,42,38,1.76,1.34,1.36,1.08,1.58,1.36,21,18,24,2.84,2.92,2.72,58,58,52,26,29,28,50,61,51,1.60,58,45,21,31,1.84,1.52,0.89,1.21,21,24,2.74,2.72,58,52,32,28,42,51,1.16,47,31,32,45,1.58,1.21,1.32,1.52,21,24,2.89,2.72,63,52,32,28,58,51,42,32,32,42,26,16,11,32,32,42,58,11,11,11,1 - 2,Leicester City,Southampton,pmatch.asp?league=england_2020&stats=578-5-8-2020,Sat 11 Jan
56,1.95,61,47,56,29,0.32,27,51,44,1.38,47,13,38,21,71,38,1.74,0.68,1.36,0.95,1.97,1.36,32,16,24,2.68,2.66,2.72,42,50,52,24,32,28,47,39,51,1.60,53,45,11,31,2.11,1.52,0.89,1.21,37,24,3.00,2.72,58,52,37,28,58,51,1.16,5,31,79,45,0.37,1.21,2.00,1.52,16,24,2.37,2.72,42,52,21,28,26,51,37,32,53,58,11,5,26,16,5,0,26,68,58,42,4 - 0,Manchester Utd,Norwich City,pmatch.asp?league=england_2020&stats=576-19-2-2020,Sat 11 Jan
53,1.63,53,48,56,41,0.95,47,64,44,1.38,39,29,38,24,42,38,1.34,1.00,1.36,1.05,1.53,1.36,37,29,24,2.39,2.53,2.72,37,50,52,16,34,28,55,47,51,1.60,42,45,21,31,1.42,1.52,1.00,1.21,37,24,2.42,2.72,37,52,11,28,53,51,1.16,26,31,58,45,0.95,1.21,1.95,1.52,16,24,2.89,2.72,53,52,47,28,42,51,42,32,32,53,16,5,26,21,16,16,42,42,37,32,1 - 1,Wolverhampton,Newcastle Utd,pmatch.asp?league=england_2020&stats=571-6-17-2020,Sat 11 Jan
66,2.05,59,36,56,44,2.32,39,52,44,1.38,42,84,38,29,8,38,1.61,2.24,1.36,1.24,0.87,1.36,29,8,24,2.84,3.11,2.72,61,68,52,32,34,28,66,55,51,1.60,63,45,21,31,1.89,1.52,0.89,1.21,16,24,2.79,2.72,53,52,26,28,53,51,1.16,74,31,16,45,1.74,1.21,0.89,1.52,11,24,2.63,2.72,68,52,21,28,47,51,32,32,21,53,16,16,5,42,37,42,47,16,11,5,0 - 1,Tottenham,Liverpool,pmatch.asp?league=england_2020&stats=574-15-1-2020,Sat 11 Jan
62,1.11,55,46,56,29,0.53,39,58,44,1.38,24,21,38,58,53,38,1.05,0.95,1.36,1.71,1.68,1.36,18,26,24,2.76,2.63,2.72,61,55,52,34,21,28,55,45,51,1.60,26,45,42,31,1.16,1.52,1.58,1.21,32,24,2.74,2.72,58,52,37,28,58,51,1.16,11,31,68,45,0.74,1.21,1.95,1.52,21,24,2.68,2.72,42,52,16,28,42,51,16,5,16,58,37,26,37,11,11,16,42,47,47,26,0 - 3,Bournemouth,Watford,pmatch.asp?league=england_2020&stats=580-13-11-2020,Sun 12 Jan
69,1.26,54,45,56,42,1.79,44,63,44,1.38,24,68,38,55,24,38,1.08,2.68,1.36,1.76,0.92,1.36,21,8,24,2.84,3.61,2.72,58,76,52,26,53,28,58,45,51,1.60,37,45,47,31,1.16,1.52,1.58,1.21,16,24,2.74,2.72,58,52,26,28,53,51,1.16,58,31,37,45,2.37,1.21,1.16,1.52,5,24,3.53,2.72,68,52,58,28,47,51,37,26,26,53,21,11,26,37,37,53,47,16,16,26,1 - 6,Aston Villa,Manchester City,pmatch.asp?league=england_2020&stats=572-16-4-2020,Sun 12 Jan
71,1.26,61,42,56,34,1.05,41,64,44,1.38,21,42,38,53,29,38,0.95,1.61,1.36,1.68,1.24,1.36,26,29,24,2.63,2.84,2.72,55,61,52,21,32,28,45,66,51,1.60,32,45,37,31,1.16,1.52,1.42,1.21,32,24,2.58,2.72,68,52,26,28,47,51,1.16,21,31,37,45,1.32,1.21,1.58,1.52,42,24,2.89,2.72,68,52,37,28,79,51,37,16,16,47,37,16,32,11,0,26,79,21,11,37,0 - 0,Watford,Tottenham,pmatch.asp?league=england_2020&stats=590-11-15-2020,Sat 18 Jan
64,1.89,64,50,56,39,1.11,38,62,44,1.38,37,37,38,26,32,38,1.47,1.03,1.36,1.26,1.03,1.36,37,32,24,2.74,2.05,2.72,55,29,52,34,11,28,61,39,51,1.60,53,45,16,31,1.89,1.52,1.26,1.21,32,24,3.16,2.72,68,52,42,28,68,51,1.16,21,31,32,45,0.79,1.21,1.26,1.52,47,24,2.05,2.72,26,52,11,28,47,51,26,26,26,68,5,5,26,26,16,5,47,37,26,16,1 - 1,Arsenal,Sheffield Utd,pmatch.asp?league=england_2020&stats=584-18-14-2020,Sat 18 Jan
54,1.16,51,50,56,31,0.58,46,55,44,1.38,24,24,38,39,55,38,1.03,1.08,1.36,1.42,1.76,1.36,37,21,24,2.45,2.84,2.72,45,58,52,21,26,28,53,58,51,1.60,26,45,37,31,1.05,1.52,1.42,1.21,37,24,2.47,2.72,37,52,21,28,47,51,1.16,11,31,63,45,1.00,1.21,1.95,1.52,26,24,2.95,2.72,58,52,26,28,63,51,21,16,16,47,37,32,21,0,0,16,63,37,37,32,1 - 1,Brighton,Aston Villa,pmatch.asp?league=england_2020&stats=589-12-16-2020,Sat 18 Jan
58,2.47,56,37,56,47,1.05,52,60,44,1.38,68,29,38,24,45,38,2.68,0.82,1.36,0.92,1.32,1.36,8,26,24,3.61,2.13,2.72,76,29,52,53,16,28,45,37,51,1.60,79,45,11,31,3.00,1.52,0.68,1.21,11,24,3.68,2.72,84,52,47,28,42,51,1.16,26,31,47,45,0.84,1.21,1.58,1.52,26,24,2.42,2.72,42,52,26,28,37,51,53,53,47,42,5,5,11,21,16,21,37,47,42,21,2 - 2,Manchester City,Crystal Palace,pmatch.asp?league=england_2020&stats=582-4-9-2020,Sat 18 Jan
71,0.79,73,49,56,38,0.68,45,54,44,1.38,13,24,38,71,58,38,0.68,1.05,1.36,1.97,1.71,1.36,16,18,24,2.66,2.76,2.72,50,61,52,32,34,28,39,55,51,1.60,21,45,63,31,1.00,1.52,1.95,1.21,16,24,2.95,2.72,58,52,42,28,53,51,1.16,21,31,74,45,0.95,1.21,1.84,1.52,5,24,2.79,2.72,63,52,32,28,53,51,11,11,16,53,37,37,42,11,5,16,53,42,37,37,1 - 0,Norwich City,Bournemouth,pmatch.asp?league=england_2020&stats=585-2-13-2020,Sat 18 Jan
40,1.11,41,58,56,47,1.47,47,52,44,1.38,39,39,38,42,24,38,1.34,1.34,1.36,1.58,1.05,1.36,18,37,24,2.92,2.39,2.72,58,37,52,29,16,28,61,55,51,1.60,32,45,53,31,1.11,1.52,1.84,1.21,16,24,2.95,2.72,53,52,26,28,63,51,1.16,37,31,26,45,1.26,1.21,1.11,1.52,37,24,2.37,2.72,37,52,21,28,58,51,16,16,5,63,21,21,37,26,16,11,58,26,16,11,2 - 3,Southampton,Wolverhampton,pmatch.asp?league=england_2020&stats=588-8-6-2020,Sat 18 Jan
56,1.16,61,53,56,37,0.95,45,62,44,1.38,26,34,38,50,39,38,1.29,1.16,1.36,1.63,1.47,1.36,24,26,24,2.92,2.63,2.72,50,47,52,39,32,28,53,58,51,1.60,32,45,47,31,1.58,1.52,1.74,1.21,21,24,3.32,2.72,58,52,47,28,63,51,1.16,26,31,58,45,1.05,1.21,1.84,1.52,16,24,2.89,2.72,58,52,32,28,58,51,16,16,32,63,21,21,32,16,11,21,58,32,26,37,1 - 1,West Ham Utd,Everton,pmatch.asp?league=england_2020&stats=587-3-10-2020,Sat 18 Jan
59,1.37,53,36,56,45,1.58,57,70,44,1.38,29,53,38,42,32,38,1.00,1.82,1.36,1.53,1.42,1.36,29,16,24,2.53,3.24,2.72,50,66,52,34,37,28,47,58,51,1.60,32,45,26,31,1.05,1.52,1.11,1.21,42,24,2.16,2.72,47,52,21,28,53,51,1.16,47,31,37,45,2.05,1.21,2.00,1.52,16,24,4.05,2.72,84,52,58,28,79,51,37,21,16,53,26,11,32,5,5,47,79,16,16,32,1 - 0,Newcastle Utd,Chelsea,pmatch.asp?league=england_2020&stats=583-17-20-2020,Sat 18 Jan
52,1.47,56,46,56,40,1.32,48,59,44,1.38,39,47,38,37,32,38,1.13,1.76,1.36,1.32,1.08,1.36,24,21,24,2.45,2.84,2.72,47,58,52,13,26,28,39,50,51,1.60,42,45,37,31,1.26,1.52,1.21,1.21,21,24,2.47,2.72,47,52,11,28,42,51,1.16,37,31,42,45,1.68,1.21,1.26,1.52,21,24,2.95,2.72,58,52,21,28,58,51,42,37,5,42,21,16,32,26,21,26,58,21,16,11,2 - 1,Burnley,Leicester City,pmatch.asp?league=england_2020&stats=586-7-5-2020,Sun 19 Jan
56,2.89,61,48,56,44,1.53,39,53,44,1.38,84,47,38,8,21,38,2.24,1.74,1.36,0.87,0.95,1.36,8,32,24,3.11,2.68,2.72,68,42,52,34,24,28,55,47,51,1.60,95,45,0,31,2.74,1.52,0.84,1.21,5,24,3.58,2.72,68,52,47,28,63,51,1.16,42,31,32,45,1.37,1.21,1.00,1.52,26,24,2.37,2.72,26,52,11,28,37,51,37,37,58,63,0,0,11,32,32,32,37,32,32,16,2 - 0,Liverpool,Manchester Utd,pmatch.asp?league=england_2020&stats=581-1-19-2020,Sun 19 Jan
