tm1_points_h,tm1_PPGH_h,tm1_GS_h,tm1_GC_h,tm0_GS_h,tm2_points_a,tm2_PPGA_a,tm2_GS_a,tm2_GC_a,tm0_GS_a,tm0_PPGH,tm1_wins,tm2_wins,tm0_wins,tm1_defeats,tm2_defeats,tm0_defeats,tm1_GSG,tm2_GSG,tm0_GSG,tm1_GCG,tm2_GCG,tm0_GCG,tm1_D,tm2_D,tm0_D,tm1_TGG,tm2_TGG,tm0_TGG,tm1_25,tm2_25,tm0_25,tm1_35,tm2_35,tm0_35,tm1_BTS,tm2_BTS,tm0_BTS,tm0_PPGH_h,tm1_wins_h,tm0_wins_h,tm1_defeats_h,tm0_defeats_h,tm1_GSG_h,tm0_GSG_h,tm1_GCG_h,tm0_GCG_h,tm1_D_h,tm0_D_h,tm1_TGG_h,tm0_TGG_h,tm1_25_h,tm0_25_h,tm1_35_h,tm0_35_h,tm1_BTS_h,tm0_BTS_h,tm0_PPGH_a,tm2_wins_a,tm0_wins_a,tm2_defeats_a,tm0_defeats_a,tm2_GSG_a,tm0_GSG_a,tm2_GCG_a,tm0_GCG_a,tm2_D_a,tm0_D_a,tm2_TGG_a,tm0_TGG_a,tm2_25_a,tm0_25_a,tm2_35_a,tm0_35_a,tm2_BTS_a,tm0_BTS_a,tm1_ClS_h,tm1_WtN_h,tm1_SiBH_h,tm1_BoTS_h,tm1_FtS_h,tm1_LtN_h,tm1_CiBH_h,tm2_ClS_h,tm2_WtN_h,tm2_SiBH_h,tm2_BoTS_h,tm2_FtS_h,tm2_LtN_h,tm2_CiBH_h,scores,tm1_names,tm2_names,urls,dates
55,1.13,52,43,50,57,2.25,49,41,50,1.38,26,58,38,45,13,38,0.81,1.97,1.34,1.35,1.10,1.34,29,29,23,2.16,3.06,2.67,35,58,49,19,45,26,39,58,48,1.34,25,37,38,40,0.81,1.34,1.13,1.33,38,23,1.94,2.67,25,49,6,26,50,48,1.43,62,40,0,37,1.88,1.33,0.88,1.34,38,23,2.75,2.67,56,49,50,26,62,48,19,12,6,50,38,31,12,38,12,44,62,25,0,19,0 - 1,Burnley,Manchester Utd,pmatch.asp?league=england&stats=1-1-2-2021,Tue 12 Jan
50,1.27,55,44,50,61,2.00,49,38,50,1.38,32,45,38,42,32,38,1.00,1.39,1.34,1.32,1.29,1.34,26,23,23,2.32,2.68,2.67,42,45,49,23,26,26,48,55,48,1.34,33,37,40,40,1.13,1.34,1.20,1.33,27,23,2.33,2.67,40,49,20,26,60,48,1.43,60,40,20,37,1.40,1.33,1.00,1.34,20,23,2.40,2.67,40,49,13,26,47,48,27,20,13,60,20,13,20,40,33,20,47,20,13,20,1 - 2,Wolverhampton,Everton,pmatch.asp?league=england&stats=178-18-16-2021,Tue 12 Jan
51,2.24,55,65,50,58,1.27,52,50,50,1.38,72,23,38,12,39,38,2.09,1.06,1.34,0.72,1.23,1.34,16,39,23,2.81,2.29,2.67,44,48,49,31,16,26,41,55,48,1.34,71,37,18,40,2.18,1.34,0.88,1.33,12,23,3.06,2.67,47,49,29,26,41,48,1.43,33,40,40,37,1.13,1.33,1.27,1.34,27,23,2.40,2.67,53,49,13,26,53,48,53,53,47,41,6,6,24,27,20,33,53,27,20,13,1 - 0,Manchester City,Brighton,pmatch.asp?league=england&stats=180-3-19-2021,Wed 13 Jan
48,1.60,48,46,50,62,1.07,62,43,50,1.38,44,16,38,31,50,38,1.69,0.75,1.34,1.16,1.31,1.34,25,34,23,2.84,2.06,2.67,50,34,49,31,12,26,53,41,48,1.34,47,37,33,40,1.73,1.34,1.13,1.33,20,23,2.87,2.67,47,49,33,26,47,48,1.43,20,40,33,37,1.00,1.33,1.20,1.34,47,23,2.20,2.67,27,49,20,26,53,48,33,33,33,47,20,20,13,27,13,13,53,33,20,7,1 - 1,Tottenham,Fulham,pmatch.asp?league=england&stats=159-15-5-2021,Wed 13 Jan
47,1.40,42,51,50,47,1.20,52,52,50,1.38,42,32,38,39,42,38,1.39,1.06,1.34,1.13,1.68,1.34,19,26,23,2.52,2.74,2.67,58,48,49,23,29,26,45,48,48,1.34,40,37,40,40,1.20,1.34,1.20,1.33,20,23,2.40,2.67,60,49,13,26,47,48,1.43,33,40,47,37,1.13,1.33,1.80,1.34,20,23,2.93,2.67,60,49,33,26,53,48,20,7,27,47,47,33,7,7,0,27,53,47,40,27,0 - 0,Arsenal,Crystal Palace,pmatch.asp?league=england&stats=171-6-7-2021,Thu 14 Jan
50,1.27,55,44,50,42,0.67,57,44,50,1.38,32,16,38,42,55,38,1.00,0.90,1.34,1.32,1.90,1.34,26,29,23,2.32,2.81,2.67,42,48,49,23,29,26,48,42,48,1.34,33,37,40,40,1.13,1.34,1.20,1.33,27,23,2.33,2.67,40,49,20,26,60,48,1.43,13,40,60,37,1.07,1.33,1.73,1.34,27,23,2.80,2.67,40,49,20,26,60,48,27,20,13,60,20,13,20,7,0,20,60,40,33,33,2 - 3,Wolverhampton,West Brom,pmatch.asp?league=england&stats=190-18-13-2021,Sat 16 Jan
47,1.40,43,37,50,58,1.27,52,50,50,1.38,45,23,38,45,39,38,1.58,1.06,1.34,1.58,1.23,1.34,10,39,23,3.16,2.29,2.67,61,48,49,32,16,26,52,55,48,1.34,40,37,40,40,1.40,1.34,1.20,1.33,20,23,2.60,2.67,47,49,20,26,47,48,1.43,33,40,40,37,1.13,1.33,1.27,1.34,27,23,2.40,2.67,53,49,13,26,53,48,33,20,27,47,33,20,27,27,20,33,53,27,20,13,0 - 1,Leeds Utd,Brighton,pmatch.asp?league=england&stats=184-10-19-2021,Sat 16 Jan
56,1.94,57,51,50,45,1.00,48,57,50,1.38,52,26,38,26,45,38,1.65,0.81,1.34,1.26,1.35,1.34,23,29,23,2.90,2.16,2.67,65,35,49,32,19,26,58,39,48,1.34,56,37,19,40,1.81,1.34,1.25,1.33,25,23,3.06,2.67,62,49,38,26,62,48,1.43,27,40,53,37,0.80,1.33,1.60,1.34,20,23,2.40,2.67,47,49,33,26,27,48,31,31,38,62,6,6,12,40,20,13,27,53,33,40,1 - 0,West Ham Utd,Burnley,pmatch.asp?league=england&stats=189-11-1-2021,Sat 16 Jan
38,0.59,38,57,50,52,1.75,46,48,50,1.38,16,48,38,50,23,38,0.75,1.61,1.34,1.31,1.00,1.34,34,29,23,2.06,2.61,2.67,34,45,49,12,32,26,41,42,48,1.34,12,37,65,40,0.53,1.34,1.41,1.33,24,23,1.94,2.67,41,49,6,26,29,48,1.43,50,40,25,37,1.44,1.33,0.94,1.34,25,23,2.38,2.67,44,49,25,26,44,48,29,12,6,29,59,41,29,44,31,31,44,25,12,6,0 - 1,Fulham,Chelsea,pmatch.asp?league=england&stats=183-5-20-2021,Sat 16 Jan
39,1.47,45,57,50,44,1.00,46,64,50,1.38,55,32,38,29,48,38,1.77,1.26,1.34,1.19,1.81,1.34,16,19,23,2.97,3.06,2.67,58,48,49,29,29,26,52,45,48,1.34,47,37,47,40,1.67,1.34,1.40,1.33,7,23,3.07,2.67,60,49,40,26,40,48,1.43,25,40,50,37,1.13,1.33,2.25,1.34,25,23,3.38,2.67,50,49,31,26,44,48,33,33,27,40,27,27,40,19,12,38,44,44,38,31,2 - 0,Leicester City,Southampton,pmatch.asp?league=england&stats=185-14-8-2021,Sat 16 Jan
