tm1_points_h,tm1_PPGH_h,tm1_GS_h,tm1_GC_h,tm0_GS_h,tm2_points_a,tm2_PPGA_a,tm2_GS_a,tm2_GC_a,tm0_GS_a,tm0_PPGH,tm1_wins,tm2_wins,tm0_wins,tm1_defeats,tm2_defeats,tm0_defeats,tm1_GSG,tm2_GSG,tm0_GSG,tm1_GCG,tm2_GCG,tm0_GCG,tm1_D,tm2_D,tm0_D,tm1_TGG,tm2_TGG,tm0_TGG,tm1_25,tm2_25,tm0_25,tm1_35,tm2_35,tm0_35,tm1_BTS,tm2_BTS,tm0_BTS,tm0_PPGH_h,tm1_wins_h,tm0_wins_h,tm1_defeats_h,tm0_defeats_h,tm1_GSG_h,tm0_GSG_h,tm1_GCG_h,tm0_GCG_h,tm1_D_h,tm0_D_h,tm1_TGG_h,tm0_TGG_h,tm1_25_h,tm0_25_h,tm1_35_h,tm0_35_h,tm1_BTS_h,tm0_BTS_h,tm0_PPGH_a,tm2_wins_a,tm0_wins_a,tm2_defeats_a,tm0_defeats_a,tm2_GSG_a,tm0_GSG_a,tm2_GCG_a,tm0_GCG_a,tm2_D_a,tm0_D_a,tm2_TGG_a,tm0_TGG_a,tm2_25_a,tm0_25_a,tm2_35_a,tm0_35_a,tm2_BTS_a,tm0_BTS_a,tm1_ClS_h,tm1_WtN_h,tm1_SiBH_h,tm1_BoTS_h,tm1_FtS_h,tm1_LtN_h,tm1_CiBH_h,tm2_ClS_h,tm2_WtN_h,tm2_SiBH_h,tm2_BoTS_h,tm2_FtS_h,tm2_LtN_h,tm2_CiBH_h,scores,tm1_names,tm2_names,urls,dates
62,1.32,62,42,53,53,1.05,61,62,47,1.36,24,24,36,42,47,36,0.76,0.87,1.10,1.18,1.32,1.10,34,29,29,1.95,2.18,2.19,34,34,38,21,16,20,39,34,41,1.49,32,40,32,31,0.95,1.17,1.00,1.02,37,29,1.95,2.19,37,38,16,20,47,41,1.22,32,31,58,40,1.05,1.02,1.63,1.17,11,29,2.68,2.19,42,38,21,20,26,41,37,11,21,47,42,16,21,32,21,21,26,53,42,42,2 - 1,AC Ajaccio,Beziers,pmatch.asp?league=france2_2019&stats=194-5-2-2019,Fri 11 Jan
50,1.26,50,51,53,43,1.05,44,59,47,1.36,29,29,36,32,34,36,1.16,0.89,1.10,0.97,1.08,1.10,39,37,29,2.13,1.97,2.19,39,32,38,24,11,20,37,42,41,1.49,26,40,26,31,1.16,1.17,1.00,1.02,47,29,2.16,2.19,32,38,26,20,42,41,1.22,26,31,47,40,0.79,1.02,1.26,1.17,26,29,2.05,2.19,42,38,11,20,37,41,47,21,37,42,37,11,16,32,16,11,37,47,32,26,3 - 2,Clermont,Niort,pmatch.asp?league=france2_2019&stats=196-7-12-2019,Fri 11 Jan
49,1.00,43,48,53,41,0.89,50,58,47,1.36,24,26,36,45,45,36,0.79,0.89,1.10,1.42,0.95,1.10,32,29,29,2.21,1.84,2.19,34,32,38,21,16,20,45,24,41,1.49,26,40,53,31,0.68,1.17,1.37,1.02,21,29,2.05,2.19,32,38,11,20,37,41,1.22,21,31,53,40,0.89,1.02,1.11,1.17,26,29,2.00,2.19,37,38,21,20,26,41,21,16,16,37,47,42,32,32,16,21,26,58,42,21,0 - 4,GFC Ajaccio,Auxerre,pmatch.asp?league=france2_2019&stats=197-9-4-2019,Fri 11 Jan
51,1.68,49,46,53,52,1.32,46,48,47,1.36,45,29,36,24,32,36,1.34,0.97,1.10,1.08,1.11,1.10,32,39,29,2.42,2.08,2.19,53,42,38,32,16,20,53,53,41,1.49,42,40,16,31,1.32,1.17,1.00,1.02,42,29,2.32,2.19,53,38,32,20,58,41,1.22,32,31,32,40,0.89,1.02,1.05,1.17,37,29,1.95,2.19,37,38,11,20,53,41,32,11,26,58,32,11,16,37,16,16,53,32,11,21,2 - 1,Lorient,Chateauroux,pmatch.asp?league=france2_2019&stats=195-17-8-2019,Fri 11 Jan
55,1.21,44,44,53,42,1.42,39,73,47,1.36,32,45,36,53,18,36,0.95,0.95,1.10,1.32,0.58,1.10,16,37,29,2.26,1.53,2.19,39,21,38,16,5,20,42,26,41,1.49,37,40,53,31,0.84,1.17,1.16,1.02,11,29,2.00,2.19,32,38,16,20,32,41,1.22,37,31,32,40,0.74,1.02,0.84,1.17,32,29,1.58,2.19,21,38,5,20,32,41,32,26,11,32,42,37,32,47,32,5,32,37,21,21,1 - 2,Nancy,Paris FC,pmatch.asp?league=france2_2019&stats=191-1-10-2019,Fri 11 Jan
50,1.37,41,40,53,48,2.05,43,52,47,1.36,39,63,36,42,13,36,1.34,1.58,1.10,1.39,0.61,1.10,18,24,29,2.74,2.18,2.19,55,42,38,34,13,20,42,42,41,1.49,37,40,37,31,1.11,1.17,1.11,1.02,26,29,2.21,2.19,42,38,21,20,32,41,1.22,58,31,11,40,1.37,1.02,0.63,1.17,32,29,2.00,2.19,42,38,16,20,42,41,42,32,11,32,37,26,26,53,32,16,42,26,5,11,0 - 1,Orleans,Metz,pmatch.asp?league=france2_2019&stats=200-15-20-2019,Fri 11 Jan
58,1.32,60,52,53,41,0.89,41,47,47,1.36,29,29,36,45,50,36,1.37,0.71,1.10,1.61,1.13,1.10,26,21,29,2.97,1.84,2.19,47,32,38,39,16,20,53,26,41,1.49,37,40,42,31,1.63,1.17,1.68,1.02,21,29,3.32,2.19,58,38,47,20,58,41,1.22,21,31,53,40,0.58,1.02,1.05,1.17,26,29,1.63,2.19,21,38,11,20,21,41,26,16,26,58,26,16,32,32,11,16,21,68,47,11,1 - 0,Valenciennes,Sochaux,pmatch.asp?league=france2_2019&stats=192-3-14-2019,Fri 11 Jan
58,2.26,59,46,53,48,1.79,51,46,47,1.36,55,55,36,16,24,36,1.68,1.34,1.10,0.92,0.74,1.10,29,21,29,2.61,2.08,2.19,42,32,38,26,8,20,55,37,41,1.49,68,40,11,31,2.00,1.17,0.84,1.02,21,29,2.84,2.19,47,38,32,20,53,41,1.22,47,31,16,40,1.37,1.02,0.68,1.17,37,29,2.05,2.19,26,38,5,20,37,41,42,37,42,53,11,5,5,53,42,21,37,21,11,11,1 - 1,Brest,Troyes,pmatch.asp?league=france2_2019&stats=193-19-6-2019,Sat 12 Jan
58,1.53,44,38,53,41,1.16,29,35,47,1.36,34,34,36,37,26,36,1.13,1.18,1.10,1.24,1.05,1.10,29,39,29,2.37,2.24,2.19,39,37,38,24,26,20,45,55,41,1.49,42,40,32,31,1.00,1.17,0.95,1.02,26,29,1.95,2.19,21,38,16,20,26,41,1.22,26,31,37,40,0.68,1.02,0.74,1.17,37,29,1.42,2.19,16,38,11,20,32,41,47,32,16,26,42,26,21,42,21,5,32,47,26,11,0 - 0,Grenoble,Le Havre,pmatch.asp?league=france2_2019&stats=199-13-18-2019,Sat 12 Jan
57,0.89,54,57,53,40,1.32,39,68,47,1.36,18,47,36,58,29,36,0.74,1.29,1.10,1.53,0.74,1.10,24,24,29,2.26,2.03,2.19,42,34,38,18,13,20,39,26,41,1.49,26,40,63,31,0.79,1.17,1.74,1.02,11,29,2.53,2.19,53,38,21,20,32,41,1.22,37,31,42,40,1.00,1.02,1.00,1.17,21,29,2.00,2.19,32,38,11,20,26,41,26,26,16,32,42,42,42,42,26,37,26,47,32,16,1 - 0,Red Star,Lens,pmatch.asp?league=france2_2019&stats=198-11-16-2019,Mon 14 Jan
